date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:20:06	723/723	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:12%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/join2.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/join2.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:06	9466765/9466765	---M--	200	added ('OK')	video/mp4	date:Wed,%2025%20Aug%202021%2010:28:49%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/video/bitcoin-profit-1.mp4	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/video/bitcoin-profit-1.mp4	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:06	1177/1177	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:12%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/join3.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/join3.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:06	6100/6100	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:10%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/testimoniala.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/testimoniala.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:07	6348/6348	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:10%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/testimonialb.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/testimonialb.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:07	6277/6277	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:08%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/testimonialc.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/testimonialc.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:07	6369/6369	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:10%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/testimoniald.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/testimoniald.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:08	3312/3312	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:08%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/step1.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/step1.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:08	3671/3671	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:08%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/step2.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/step2.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:08	3923/3923	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:08%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/step3.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/step3.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:09	523/523	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:12%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/q.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/q.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:09	9641/9641	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202020%2008:51:12%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/img/footer-logo.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/img/footer-logo.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:09	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jun%202022%2009:20:10%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/images/ie-logo-nav-desktop.png	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/images/ie-logo-nav-desktop.png	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:10	23389/23389	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Aug%202021%2011:03:30%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/privacy_policy.html	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/privacy_policy.html	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:10	26239/26239	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Aug%202021%2011:03:30%20GMT	https://en.locatorleads.com/landers/btcprofit-lp2/terms-and-conditions.html	C:/Users/Tech/Documents/aaa/en.locatorleads.com/landers/btcprofit-lp2/terms-and-conditions.html	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
05:20:12	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/Tech/Documents/aaa/code.jquery.com/jquery-3.5.1.min.js	(from https://en.locatorleads.com/landers/btcprofit-lp2/)
